,,,"Collection in progress by Jeremy Pressman (@djpressman, U of Connecticut) and Erica Chenoweth (@EricaChenoweth, U of Denver). ",,,,,,
,,,"With thanks to Rivera Sun, Sarah Syverson, & many others for assistance compiling sources.",,,,,,
,,,"To submit additional information, please use this form: https://goo.gl/forms/PmLax1SUfUnQ0ftd2",,,,,,
,,,,,,,,,
,State/Territory,Country,Estimate1 (low),Estimate2 (high),Estimate3,Not 1/21,Source1,Source2,Source3
Total US,,,"3,336,865","4,633,725",,,,,
"Abilene, TX",TX,US,200,200,,,http://www.reporternews.com/story/news/local/2017/01/21/hundreds-march-abilene-city-hall-womens-rights/96858224/,,
"Accident, MD",MD,US,54,54,,,Twitter; on-site witness ,,
"Adak, AK",AK,US,10,10,,,adn.com,,
"Adrian, MI",MI,US,130,150,,,https://www.facebook.com/events/847360115406578/,http://www.lenconnect.com/news/20170122/marches-in-adrian-across-country-express-distaste-for-new-leader,
"Ajo, AZ",AZ,US,250,250,,,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fwomenactnow%2Fposts%2F316622398732847&width=500,,
"Alameda, CA",CA,US,8,8,,,FB,,
"Alamosa, CO",CO,US,350,350,,,https://twitter.com/zepol/status/823234973935239172,,
"Albany, CA",CA,US,500,500,,,https://twitter.com/ben_silverman/status/823032391841132545,Albany PD (reported via google form),
"Albany, NY",NY,US,"7,000","9,000",,,http://www.timesunion.com/local/article/Albany-activists-Inaugurate-Resistance-on-10873758.php,FB,
"Alexandria, VA",VA,US,17,17,,,https://twitter.com/TinaPStacy/status/823226044643680257,,
"Albuquerque, NM",NM,US,"3,000","20,000",,,http://www.koat.com/article/thousands-fill-civic-plaza-for-womens-rally/8626736,https://twitter.com/PatDavisNM/status/822931494662389760,https://twitter.com/AthertonKD/status/823215168423235584
"Almanor West, CA",CA,US,4,4,,,eyewitness; picture,,
"Alpine, TX",TX,US,96,96,,,https://twitter.com/sarahmvasquez/status/823189717659176960,,
"Amarillo, TX",TX,US,600,600,,,https://www.texastribune.org/2017/01/21/thousands-expected-participate-texas-womens-marche/,,
"Amelia Island, FL",FL,US,700,"1,300",,,http://www.firstcoastnews.com/news/womens-march-makes-its-way-to-the-first-coast/389706372,https://twitter.com/wideofthepost/status/823077871795261440,
"Anacortes, WA",WA,US,,,,200,http://www.goskagit.com/skagit/hundreds-participate-in-anacortes-women-s-march/article_4117590e-285b-565e-acd0-1ea4e7826160.html,,
"Anchorage, AK",AK,US,"2,000","3,000",,,https://www.adn.com/alaska-news/2017/01/21/large-crowd-attends-womens-march-on-anchorage-in-solidarity-with-national-events/,https://twitter.com/julia_omalley/status/822905531316649984,
"Ann Arbor, MI",MI,US,"11,000","11,000",,,http://www.mlive.com/news/ann-arbor/index.ssf/2017/01/more_than_6000_flood_streets_o.html,,
"Annapolis, MD",MD,US,"1,600","1,600",,,http://www.capitalgazette.com/news/annapolis/ph-ac-cn-annapolis-womens-march-0122-20170121-story.html,,
"Arlington, VA",VA,US,,,,,,,
"Asbury Park, NJ",NJ,US,"6,000","6,000",,,https://twitter.com/JuliaJHobbs/status/822955160116793344,,
"Asheville, NC",NC,US,"7,000","10,000",,,http://wlos.com/news/local/photo-gallery-the-womens-march-on-asheville,http://wlos.com/news/local/photo-gallery-the-womens-march-on-asheville,
"Ashland, OR",OR,US,"6,000",8000,,,http://www.mailtribune.com/news/20170121/voices-from-crowd,http://ijpr.org/post/southern-oregon-womens-march-draws-big-crowd#stream/0,
"Aspen, CO",CO,US,"1,000",1000,,,https://twitter.com/SarahGoTrillIum/status/823018327316566016,,
"Astoria, OR",OR,US,100,1000,,,http://www.dailyastorian.com/Local_News/20170121/hundreds-march-in-astoria-to-counter-trump,,
"Athens, GA",GA,US,700,5000,,,http://onlineathens.com/slideshow/2017-01-21/photos-athens-womens-march#slide-1,FB,
"Atlanta, GA",GA,US,"60,000",63000,,,http://www.ajc.com/news/state--regional-govt--politics/new-police-estimate-000-atlanta-the-march-continues-the-capitol/PlaULPX2mykkjcHk799zLP/,http://www.nbcnews.com/storyline/inauguration-2017/women-s-marches-held-around-world-solidarity-d-c-protest-n710331,
"Augusta, GA",GA,US,600,600,,,http://chronicle.augusta.com/news/2017-01-21/hundreds-participate-augusta-solidarity-march,,
"Augusta, ME",ME,US,"10,000",10000,,,http://bangordailynews.com/2017/01/21/news/state/marchers-flock-to-maine-cities-to-stand-up-to-trump/,,
